Cosmos,$8.80
Bitcoin,"$34,906.32"
Maker,"$1,719.60"
Ethereum,"$1,473.10"
Dai,$1.00
Tether,$1.00
Neo,$23.33
SushiSwap,$12.74
Compound,$351.72
XRP,$0.3723
Binance USD,$1.00
Polkadot,$17.18
Crypto.com Coin,$0.06247
Solana,$5.19
Cardano,$0.4340
Huobi Token,$6.88
Litecoin,$143.37
Chainlink,$22.83
UNUS SED LEO,$1.30
FTX Token,$12.45
Bitcoin Cash,$425.57
Binance Coin,$50.11
Celsius,$4.90
IOTA,$0.4174
Stellar,$0.3315
Elrond,$65.93
USD Coin,$1.00
Filecoin,$22.65
Uniswap,$18.50
Wrapped Bitcoin,"$34,870.52"
Dash,$106.92
Dogecoin,$0.03130
Zcash,$92.03
Aave,$299.47
Avalanche,$13.08
Bitcoin SV,$178.60
Terra,$2.09
EOS,$2.97
Revain,$0.01167
Monero,$146.51
The Graph,$0.7689
NEM,$0.2656
yearn.finance,"$30,927.71"
TRON,$0.03292
Ethereum Classic,$7.64
Tezos,$2.89
THETA,$2.08
Kusama,$103.01
Zilliqa,$0.07769
Synthetix,$16.50
Decred,$66.61
VeChain,$0.02871
Algorand,$0.6471
ICON,$0.7643
UMA,$12.94
Waves,$6.87
DigiByte,$0.03024
NEAR Protocol,$2.44
Ren,$0.6691
BitTorrent,$0.0004015
Hedera Hashgraph,$0.08945
TrueUSD,$1.00
Horizen,$35.09
Loopring,$0.5208
Reserve Rights,$0.03901
Siacoin,$0.007995
THORChain,$3.70
OKB,$5.91
SwissBorg,$0.6255
Qtum,$3.48
renBTC,"$34,892.74"
Stacks,$0.4542
Alpha Finance Lab,$1.91
Voyager Token,$2.49
OMG Network,$3.89
Enjin Coin,$0.3531
Nexo,$0.9758
Fantom,$0.1132
Celo,$2.84
Kyber Network,$1.39
Curve DAO Token,$2.48
Ampleforth,$1.33
1inch,$4.80
Verge,$0
HedgeTrade,$1.45
IOST,$0.01645
Ontology,$0.6173
TerraUSD,$1.03
0x,$0.6621
FunFair,$0.03993
Nano,$3.53
Basic Attention Token,$0.3157
Decentraland,$0.1641
Quant,$37.74
Paxos Standard,$1.00
HUSD,$0.9992
PancakeSwap,$2.30
Flow (Dapper Labs),$9.97
Bitcoin BEP2,"$34,720.05"
Energy Web Token,$7.70
Ocean Protocol,$0.5686
Balancer,$33.56
Bancor,$2.00
Band Protocol,$11.24
Bitcoin Diamond,$0.6735
Ravencoin,$0.02427
Chiliz,$0.02249
Arweave,$5.86
Numeraire,$27.03
Matic Network,$0.03978
Golem,$0.1210
RSK Infrastructure Framework,$0.1736
Augur,$17.70
Bitcoin Gold,$10.68
BitShares,$0.03953
Status,$0.05201
Kava.io,$2.48
Morpheus.Network,$2.45
Gnosis,$118.92
Lisk,$1.38
IoTeX,$0.01178
Injective Protocol,$10.95
PAX Gold,"$1,850.06"
Helium,$2.43
Storj,$0.4461
Civic,$0.1667
ABBC Coin,$0.1910
Swipe,$1.30
MaidSafeCoin,$0.3616
NuCypher,$0.2778
TomoChain,$1.34
Aragon,$4.13
Theta Fuel,$0.03078
iExec RLC,$1.30
Nervos Network,$0.005992
MonaCoin,$1.57
Serum,$2.84
Bytom,$0.07333
Pundi X,$0.0004178
Unibright,$0.9275
ZB Token,$0.2887
saffron.finance,"$1,315.49"
Holo,$0.0007849
Utrust,$0.2874
KuCoin Token,$1.19
Orchid,$0.3488
CyberVein,$0.08872
Kin,$0.00005818
Velas,$0.04357
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
