Coin_name,Price
Bitcoin,"$34,870.68"
Ethereum,"$1,476.16"
Tether,$1.00
XRP,$0.3706
Polkadot,$17.27
Cardano,$0.4328
Litecoin,$143.18
Chainlink,$22.86
Bitcoin Cash,$426.14
Binance Coin,$50.09
Stellar,$0.3308
USD Coin,$1.00
Uniswap,$18.47
Wrapped Bitcoin,"$34,841.41"
Dogecoin,$0.03125
Aave,$297.99
Bitcoin SV,$178.56
EOS,$2.96
Monero,$146.47
NEM,$0.2656
TRON,$0.03292
Tezos,$2.88
THETA,$2.09
Synthetix,$16.54
VeChain,$0.02882
Cosmos,$8.76
Maker,"$1,742.08"
Dai,$1.00
Neo,$23.32
SushiSwap,$12.81
Compound,$350.82
Crypto.com Coin,$0.06207
Binance USD,$1.00
Solana,$5.20
Huobi Token,$6.88
UNUS SED LEO,$1.30
FTX Token,$12.45
Celsius,$4.89
IOTA,$0.4186
Elrond,$66.06
Filecoin,$22.67
Dash,$107.01
Zcash,$92.25
Terra,$2.11
Avalanche,$13.11
Revain,$0.01168
The Graph,$0.7699
yearn.finance,"$31,048.88"
Ethereum Classic,$7.64
Kusama,$103.26
Zilliqa,$0.07746
Decred,$66.52
Algorand,$0.6476
UMA,$12.93
Waves,$6.86
NEAR Protocol,$2.46
Ren,$0.6698
Hedera Hashgraph,$0.08908
Loopring,$0.5208
THORChain,$3.73
SwissBorg,$0.6264
renBTC,"$34,878.33"
Voyager Token,$2.50
Nexo,$0.9749
OMG Network,$3.87
Celo,$2.85
1inch,$4.81
Curve DAO Token,$2.48
HedgeTrade,$1.42
Ontology,$0.6152
0x,$0.6623
Nano,$3.52
Basic Attention Token,$0.3147
Quant,$37.83
HUSD,$0.9998
ICON,$0.7653
DigiByte,$0.03021
BitTorrent,$0.0004005
TrueUSD,$1.00
Horizen,$35.11
Siacoin,$0.008034
Reserve Rights,$0.03879
OKB,$5.91
Qtum,$3.48
Stacks,$0.4540
Alpha Finance Lab,$1.92
Enjin Coin,$0.3531
Fantom,$0.1142
Kyber Network,$1.39
Ampleforth,$1.33
TerraUSD,$1.03
IOST,$0.01644
Verge,$0.01639
FunFair,$0.04005
Decentraland,$0.1639
PancakeSwap,$2.32
Paxos Standard,$1.00
Bitcoin BEP2,"$34,729.36"
Ocean Protocol,$0.5686
Bancor,$2.00
Balancer,$33.49
Energy Web Token,$7.70
Flow (Dapper Labs),$9.93
Band Protocol,$11.20
Arweave,$5.82
Ravencoin,$0.02425
Matic Network,$0.03976
Augur,$17.65
Bitcoin Gold,$10.68
Status,$0.05201
Gnosis,$118.99
Lisk,$1.38
Injective Protocol,$10.92
Helium,$2.43
ABBC Coin,$0.1910
MaidSafeCoin,$0.3612
Aragon,$4.12
Theta Fuel,$0.03078
Nervos Network,$0.005992
Serum,$2.85
Unibright,$0.9302
ZB Token,$0.2892
Holo,$0.0007848
Utrust,$0.2874
Orchid,$0.3488
Bitcoin Diamond,$0.6746
Chiliz,$0.02262
Golem,$0.1210
Numeraire,$27.06
BitShares,$0.03925
RSK Infrastructure Framework,$0.1731
Kava.io,$2.48
Morpheus.Network,$2.42
IoTeX,$0.01178
PAX Gold,"$1,848.74"
Civic,$0.1675
Storj,$0.4462
Swipe,$1.30
NuCypher,$0.2779
TomoChain,$1.34
iExec RLC,$1.30
MonaCoin,$1.57
Bytom,$0.07333
Pundi X,$0.0004185
saffron.finance,"$1,318.08"
KuCoin Token,$1.19
CyberVein,$0.08872
Velas,$0.04357
Populous,$1.68
Oasis Network,$0.05925
Komodo,$0.7020
Kin,$0.00005693
Venus,$10.51
ReddCoin,$0.002982
Ankr,$0.01321
Harmony,$0.008864
Travala.com,$1.78
aelf,$0.1495
Secret,$1.17
Ardor,$0.08139
Fetch.ai,$0.1069
Opium,$19.03
district0x,$0.1283
Keep3rV1,$379.68
Steem,$0.1926
JUST,$0.03276
Energi,$1.96
Wrapped NXM,$43.61
SingularityNET,$0.08483
DFI.Money,"$1,891.84"
Mainframe,$0.007331
TrustSwap,$0.9956
Wanchain,$0.4209
xDai,$17.61
Syntropy,$0.2142
Stratis,$0.6781
DxChain Token,$0.001327
IRISnet,$0.06747
WAX,$0.04141
Kleros,$0.1025
Syscoin,$0.1005
Loom Network,$0.06247
LTO Network,$0.2198
Hive,$0.1408
Ark,$0.4479
Aidos Kuneen,$2.27
bZx Protocol,$0.3769
Polymath,$0.09731
OriginTrail,$0.1648
Haven Protocol,$3.87
LBRY Credits,$0.1037
Tellor,$31.99
DIA,$1.89
QuarkChain,$0.008409
Electroneum,$0.005194
WaykiChain,$0.2497
Enzyme,$36.17
Power Ledger,$0.1150
Uquid Coin,$4.87
Origin Protocol,$0.2289
